2017-12-02 14:05:32 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4ef37659: startup date [Sat Dec 02 14:05:32 EST 2017]; root of context hierarchy
2017-12-02 14:05:33 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-02 14:05:33 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$fbe88dc1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-12-02 14:05:34 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at: http://localhost:9000
2017-12-02 14:05:36 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Located environment: name=swimlane-service, profiles=[default], label=null, version=4aba47edfe9bf6597ddb8c3131e38753f3f9d07b, state=null
2017-12-02 14:05:36 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource [name='configService', propertySources=[MapPropertySource {name='configClient'}, MapPropertySource {name='https://github.com/Burnswme/aw_configs/swimlane-service.yml'}]]
2017-12-02 14:05:36 [main] INFO  com.revature.aw.SwimlaneApplication - No active profile set, falling back to default profiles: default
2017-12-02 14:05:36 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@79145d5a: startup date [Sat Dec 02 14:05:36 EST 2017]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@4ef37659
2017-12-02 14:05:37 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9d800fca-6cb8-33d2-849a-d33d843db6e5
2017-12-02 14:05:37 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-02 14:05:37 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$dfce8ac4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
